,Unnamed: 0,user_id,tweet_id,location,source,hashtags
0,5,1014790058597994497,1190025643859292160,Korea,Twitter for Android,"['정호석', '제이홉', 'JHOPE', '박지민', '지민', 'JIMIN', '방탄소년단', 'BTS']"
1,24,3248790324,1190025665111711744,Indonesia,Twitter for Android,
2,35,136594010,1190025674599391232,United States,Twitter Web App,"['MAMAVOTE', 'BTS']"
3,36,4150866434,1190025675693940736,Korea,Twitter for iPhone,"['정국', 'JUNGKOOK', '방탄소년단', 'BTS']"
4,46,901907954236092420,1190025686343393281,México,Twitter for Android,
5,56,1077075635665653761,1190025697894383616,México,Twitter Web App,"['MAMAVOTE', 'BTS']"
6,83,984994815405318144,1190025719285370881,日本,Twitter for iPhone,"['BTS', 'Lights', 'BoyWithLove']"
7,123,1187869690434973696,1190025756325187584,Korea,Twitter for Android,
8,124,983207305821892608,1190025756375535617,Korea,Twitter for Android,
9,126,912455323641815040,1190025757273276421,Philippines,Twitter for iPhone,
10,130,969151739763965952,1190025759999414272,Korea,Twitter for Android,['BTS']
11,141,1050261836216426497,1190025766588821504,Indonesia,Twitter for Android,
12,142,127505226,1190025767368810496,Korea,Twitter for Android,"['지민', 'JIMIN', 'ジミン', '방탄소년단', 'BTS']"
13,167,893375721267056640,1190025788877418496,Korea,Twitter for Android,"['박지민', '지민', 'JIMIN', '방탄소년단', 'BTS']"
14,169,827656819367608323,1190025793105207297,Brasil,Twitter for Android,"['MAMAVOTE', 'BTS']"
15,178,1170216937554448385,1190025801825169410,Indonesia,Twitter for Android,"['MAMAVOTE', 'bts']"
16,186,770530816170401792,1190025807910948864,Korea,Twitter for Android,"['JHope', '제이홉', '정호석', '호비', 'BTS', '방탄소년단']"
17,195,997421408710873088,1190025816853360643,Indonesia,Twitter for Android,
18,199,958503054357221376,1190025821655879683,Brasil,Twitter Web App,['BTS']
19,205,1075038902061277198,1190025825640427520,Indonesia,Twitter for iPhone,"['뷔', 'V', 'taehyung', '태형', '김태형', '태태', '방탄소년단']"
20,212,1112416156030304258,1190025829671227392,Brasil,Twitter for Android,
21,217,704641759,1190025833563512832,日本,Twitter for iPhone,
22,227,989778330713964545,1190025846607765504,United States,Twitter for Android,
23,237,859180094820102144,1190025852546945026,Brasil,Twitter for Android,"['MAMAVOTE', 'BTS']"
24,242,859075338638438400,1190025859673083905,Brasil,Twitter for iPhone,
25,252,1015414269704196096,1190025865469534208,Korea,Twitter for iPhone,"['뷔', 'V', 'taehyung', '태형', '김태형', '태태', '방탄소년단', 'BTS', '防弾少年団', 'BTSV']"
26,289,1167396861746937856,1190025902543003649,日本,Twitter for iPhone,
27,341,1227746030,1190025945173970948,México,Twitter for Android,
28,348,957094875211751424,1190025953076039681,México,Twitter for Android,
29,406,791598510122475520,1190025998739419136,Indonesia,Twitter Web App,
30,435,346309411,1190026017685098497,México,Twitter for Android,"['MAMAVOTE', 'BTS']"
31,459,2385689166,1190026033824772102,Korea,Twitter for Android,
32,464,1182264859636817920,1190026038136360960,Indonesia,Twitter for Android,"['MAMAVOTE', 'BTS']"
33,509,1102191958838009856,1190026076610691073,Korea,Twitter for iPhone,
34,517,1157159101505265664,1190026083648847874,Indonesia,Twitter for Android,"['김태형', '태형', '방탄소년단뷔', 'BTSV', 'Taehyung', '뷔', 'V', 'BTS', '방탄소년단']"
35,583,1182313353772851200,1190026149558140928,Thailand,Twitter for Android,"['JIMIN', 'BTS']"
36,586,822302680529784832,1190026151185567749,Korea,Twitter for Android,"['BTS티트리', '트루리얼진정팩']"
