;user_id;tweet_id;location;source;hashtags
5;1014790058597994497;1190025643859292160;????;Twitter for Android;'???', '???', 'JHOPE', '???', '??', 'JIMIN', '?????', 'BTS'
24;3248790324;1190025665111711744;Indonesia;Twitter for Android;
35;136594010;1190025674599391232;United States;Twitter Web App;'MAMAVOTE', 'BTS'
36;4150866434;1190025675693940736;????;Twitter for iPhone;'??', 'JUNGKOOK', '?????', 'BTS'
46;901907954236092420;1190025686343393281;Mexico;Twitter for Android;
56;1077075635665653761;1190025697894383616;Mexico;Twitter Web App;'MAMAVOTE', 'BTS'
83;984994815405318144;1190025719285370881;??;Twitter for iPhone;'BTS', 'Lights', 'BoyWithLove'
123;1187869690434973696;1190025756325187584;????;Twitter for Android;
124;983207305821892608;1190025756375535617;????;Twitter for Android;
126;912455323641815040;1190025757273276421;Republic of the Philippines;Twitter for iPhone;
130;969151739763965952;1190025759999414272;????;Twitter for Android;'BTS'
141;1050261836216426497;1190025766588821504;Indonesia;Twitter for Android;
142;127505226;1190025767368810496;???? ??;Twitter for Android;'??', 'JIMIN', '???', '?????', 'BTS'
167;893375721267056640;1190025788877418496;????;Twitter for Android;'???', '??', 'JIMIN', '?????', 'BTS'
169;827656819367608323;1190025793105207297;Brasil;Twitter for Android;'MAMAVOTE', 'BTS'
178;1170216937554448385;1190025801825169410;Indonesia;Twitter for Android;'MAMAVOTE', 'bts'
186;770530816170401792;1190025807910948864;Seoul, Republic of Korea;Twitter for Android;'JHope', '???', '???', '??', 'BTS', '?????'
195;997421408710873088;1190025816853360643;Indonesia;Twitter for Android;
199;958503054357221376;1190025821655879683;Brasil;Twitter Web App;'BTS'
205;1075038902061277198;1190025825640427520;Indonesia;Twitter for iPhone;'?', 'V', 'taehyung', '??', '???', '??', '?????'
212;1112416156030304258;1190025829671227392;Brasil;Twitter for Android;
217;704641759;1190025833563512832;??;Twitter for iPhone;
227;989778330713964545;1190025846607765504;United States;Twitter for Android;
237;859180094820102144;1190025852546945026;Brasil;Twitter for Android;'MAMAVOTE', 'BTS'
242;859075338638438400;1190025859673083905;Brasil;Twitter for iPhone;
252;1015414269704196096;1190025865469534208;????;Twitter for iPhone;'?', 'V', 'taehyung', '??', '???', '??', '?????', 'BTS', '?????', 'BTSV'
289;1167396861746937856;1190025902543003649;??;Twitter for iPhone;
341;1227746030;1190025945173970948;Mexico;Twitter for Android;
348;957094875211751424;1190025953076039681;Mexico;Twitter for Android;
406;791598510122475520;1190025998739419136;Indonesia;Twitter Web App;
435;346309411;1190026017685098497;Mexico;Twitter for Android;'MAMAVOTE', 'BTS'
459;2385689166;1190026033824772102;???? ??;Twitter for Android;
464;1182264859636817920;1190026038136360960;Indonesia;Twitter for Android;'MAMAVOTE', 'BTS'
509;1102191958838009856;1190026076610691073;????;Twitter for iPhone;
517;1157159101505265664;1190026083648847874;Indonesia;Twitter for Android;'???', '??', '??????', 'BTSV', 'Taehyung', '?', 'V', 'BTS', '?????'
583;1182313353772851200;1190026149558140928;?????????;Twitter for Android;'JIMIN', 'BTS'
586;822302680529784832;1190026151185567749;????;Twitter for Android;'BTS???', '???????'
591;434755462;1190026155778293760;Indonesia;Twitter for Android;'MAMAVOTE', 'BTS'
595;1035501266405810176;1190026158412353537;???? ??;Twitter for iPhone;'RM', '??', 'BTS'
600;1185596988051656705;1190026160983416832;Mexico;Twitter for Android;
608;970373416372097024;1190026174220554240;Mexico;Twitter for Android;
630;962548770620649473;1190026193245835264;??;Twitter for iPhone;
651;845452603748175872;1190026213315817472;United States;Twitter for Android;
661;919944650571386886;1190026221947629569;Republic of the Philippines;Twitter for iPhone;
662;961239604106940416;1190026222929108992;????;Twitter for Android;'HappyHalloween', '??????????', 'MAMAVOTE', 'BTS'
676;862878494115602433;1190026233188429826;Seoul, Republic of Korea;Twitter for Android;'halloween2019', 'happpyhalloween', 'BTS'
684;920877171589111810;1190026241887236096;????;Twitter for Android;'halloween2019', 'happpyhalloween', 'BTS'
700;2408556577;1190026260401020928;Malaysia;Twitter for iPhone;
735;1120169064297484288;1190026288330883072;Indonesia;Twitter Web App;'MAMAVOTE'
736;1029033334746173440;1190026288913715201;Indonesia;Twitter for Android;
743;1150432879115063296;1190026292286152705;Indonesia;Twitter for Android;'MAMAVOTE', 'BTS'
747;1044887182043828224;1190026294089654272;??;Twitter for Android;
757;1137248897422594049;1190026301316509696;Malaysia;Twitter for Android;
770;1044531404711686144;1190026311160487936;Viet Nam;Twitter for Android;'JIMIN', 'BTS'
775;1122726064940150784;1190026314893406211;United States;Twitter for iPhone;
783;901111800447385600;1190026323261038593;?????????????, ?????????;Twitter for Android;'JHope', '???', '???', '??', 'BTS', '?????'
